2026/09/04 10:21:36.251, 336.64 W, 600.00 W, 2752 MHz, 15368 MHz, 64, 98 %, 80122 MiB
2026/09/04 10:21:37.252, 315.93 W, 600.00 W, 2745 MHz, 15368 MHz, 59, 0 %, 80122 MiB
2026/09/04 10:21:38.252, 523.68 W, 600.00 W, 2677 MHz, 15368 MHz, 69, 98 %, 80122 MiB
2026/09/04 10:21:39.253, 422.03 W, 600.00 W, 2752 MHz, 15368 MHz, 67, 98 %, 80122 MiB
2026/09/04 10:21:40.254, 345.34 W, 600.00 W, 2745 MHz, 15368 MHz, 65, 99 %, 80122 MiB
2026/09/04 10:21:41.255, 345.72 W, 600.00 W, 2752 MHz, 15368 MHz, 63, 99 %, 80122 MiB
2026/09/04 10:21:42.256, 393.99 W, 600.00 W, 2715 MHz, 15368 MHz, 69, 99 %, 80122 MiB
2026/09/04 10:21:43.257, 498.82 W, 600.00 W, 2692 MHz, 15368 MHz, 64, 99 %, 80122 MiB
2026/09/04 10:21:44.258, 354.63 W, 600.00 W, 2745 MHz, 15368 MHz, 65, 98 %, 80122 MiB
2026/09/04 10:21:45.259, 354.10 W, 600.00 W, 2745 MHz, 15368 MHz, 64, 98 %, 80122 MiB
2026/09/04 10:21:46.260, 343.03 W, 600.00 W, 2737 MHz, 15368 MHz, 61, 8 %, 80122 MiB
2026/09/04 10:21:47.260, 460.65 W, 600.00 W, 2685 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:21:48.261, 464.42 W, 600.00 W, 2745 MHz, 15368 MHz, 68, 99 %, 80122 MiB
2026/09/04 10:21:49.261, 349.83 W, 600.00 W, 2737 MHz, 15368 MHz, 66, 98 %, 80122 MiB
2026/09/04 10:21:50.262, 360.11 W, 600.00 W, 2760 MHz, 15368 MHz, 69, 98 %, 80122 MiB
2026/09/04 10:21:51.263, 310.97 W, 600.00 W, 2782 MHz, 15368 MHz, 67, 46 %, 80122 MiB
2026/09/04 10:21:52.264, 501.35 W, 600.00 W, 2670 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:21:53.264, 428.66 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 99 %, 80122 MiB
2026/09/04 10:21:54.265, 358.98 W, 600.00 W, 2737 MHz, 15368 MHz, 66, 99 %, 80122 MiB
2026/09/04 10:21:55.266, 355.56 W, 600.00 W, 2745 MHz, 15368 MHz, 68, 99 %, 80122 MiB
2026/09/04 10:21:56.267, 307.57 W, 600.00 W, 2820 MHz, 15368 MHz, 68, 98 %, 80122 MiB
2026/09/04 10:21:57.268, 522.87 W, 600.00 W, 2677 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:21:58.269, 428.76 W, 600.00 W, 2737 MHz, 15368 MHz, 69, 99 %, 80122 MiB
2026/09/04 10:21:59.270, 357.56 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 99 %, 80122 MiB
2026/09/04 10:22:00.270, 349.60 W, 600.00 W, 2745 MHz, 15368 MHz, 65, 98 %, 80122 MiB
2026/09/04 10:22:01.271, 305.32 W, 600.00 W, 2805 MHz, 15368 MHz, 67, 40 %, 80122 MiB
2026/09/04 10:22:02.272, 502.31 W, 600.00 W, 2677 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:03.272, 452.29 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 99 %, 80122 MiB
2026/09/04 10:22:04.273, 363.26 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 98 %, 80122 MiB
2026/09/04 10:22:05.274, 367.32 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 100 %, 80122 MiB
2026/09/04 10:22:06.275, 343.41 W, 600.00 W, 2737 MHz, 15368 MHz, 63, 0 %, 80122 MiB
2026/09/04 10:22:07.275, 443.52 W, 600.00 W, 2685 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:08.276, 496.09 W, 600.00 W, 2700 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:09.276, 374.73 W, 600.00 W, 2745 MHz, 15368 MHz, 72, 98 %, 80122 MiB
2026/09/04 10:22:10.277, 367.96 W, 600.00 W, 2730 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:11.278, 364.60 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 98 %, 80122 MiB
2026/09/04 10:22:12.278, 343.75 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:13.279, 538.20 W, 600.00 W, 2662 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:14.280, 415.52 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:15.280, 367.25 W, 600.00 W, 2752 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:16.281, 363.58 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:17.281, 302.40 W, 600.00 W, 2797 MHz, 15368 MHz, 64, 0 %, 80122 MiB
2026/09/04 10:22:18.282, 496.02 W, 600.00 W, 2670 MHz, 15368 MHz, 73, 99 %, 80122 MiB
2026/09/04 10:22:19.282, 494.75 W, 600.00 W, 2707 MHz, 15368 MHz, 73, 99 %, 80122 MiB
2026/09/04 10:22:20.283, 382.92 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:22:21.283, 372.77 W, 600.00 W, 2737 MHz, 15368 MHz, 71, 99 %, 80122 MiB
2026/09/04 10:22:22.284, 372.10 W, 600.00 W, 2745 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:22:23.285, 312.11 W, 600.00 W, 2775 MHz, 15368 MHz, 74, 99 %, 80122 MiB
2026/09/04 10:22:24.285, 527.72 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 80122 MiB
2026/09/04 10:22:25.286, 451.43 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:26.287, 371.54 W, 600.00 W, 2730 MHz, 15368 MHz, 68, 100 %, 80122 MiB
2026/09/04 10:22:27.288, 377.67 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 98 %, 80122 MiB
2026/09/04 10:22:28.288, 379.12 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 99 %, 80122 MiB
2026/09/04 10:22:29.289, 391.83 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 99 %, 80122 MiB
2026/09/04 10:22:30.289, 437.63 W, 600.00 W, 2745 MHz, 15368 MHz, 73, 94 %, 80122 MiB
2026/09/04 10:22:31.290, 333.88 W, 600.00 W, 2745 MHz, 15368 MHz, 73, 94 %, 80122 MiB
2026/09/04 10:22:32.290, 325.99 W, 600.00 W, 2745 MHz, 15368 MHz, 70, 94 %, 80122 MiB
2026/09/04 10:22:33.291, 268.74 W, 600.00 W, 2812 MHz, 15368 MHz, 66, 23 %, 80122 MiB
2026/09/04 10:22:34.292, 172.47 W, 600.00 W, 2812 MHz, 15368 MHz, 65, 17 %, 80122 MiB
2026/09/04 10:22:35.293, 169.26 W, 600.00 W, 2745 MHz, 15368 MHz, 64, 18 %, 80122 MiB
2026/09/04 10:22:36.293, 165.28 W, 600.00 W, 2737 MHz, 15368 MHz, 64, 22 %, 80122 MiB
2026/09/04 10:22:37.294, 166.24 W, 600.00 W, 2745 MHz, 15368 MHz, 64, 22 %, 80122 MiB
2026/09/04 10:22:38.295, 165.02 W, 600.00 W, 2737 MHz, 15368 MHz, 64, 23 %, 80122 MiB
2026/09/04 10:22:39.295, 163.52 W, 600.00 W, 2737 MHz, 15368 MHz, 63, 18 %, 80122 MiB
2026/09/04 10:22:40.296, 163.99 W, 600.00 W, 2737 MHz, 15368 MHz, 63, 23 %, 80122 MiB
2026/09/04 10:22:41.296, 163.69 W, 600.00 W, 2737 MHz, 15368 MHz, 63, 22 %, 80122 MiB
2026/09/04 10:22:42.297, 163.25 W, 600.00 W, 2737 MHz, 15368 MHz, 63, 21 %, 80122 MiB
2026/09/04 10:22:43.298, 143.78 W, 600.00 W, 2647 MHz, 15368 MHz, 61, 6 %, 80122 MiB
2026/09/04 10:22:44.298, 105.02 W, 600.00 W, 2610 MHz, 15368 MHz, 61, 6 %, 80122 MiB
2026/09/04 10:22:45.299, 458.88 W, 600.00 W, 2685 MHz, 15368 MHz, 71, 98 %, 80122 MiB
2026/09/04 10:22:46.299, 382.89 W, 600.00 W, 2752 MHz, 15368 MHz, 70, 98 %, 80122 MiB
2026/09/04 10:22:47.300, 327.90 W, 600.00 W, 2760 MHz, 15368 MHz, 69, 99 %, 80122 MiB
2026/09/04 10:22:48.300, 328.18 W, 600.00 W, 2752 MHz, 15368 MHz, 65, 59 %, 80122 MiB
2026/09/04 10:22:49.301, 487.44 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 80122 MiB
2026/09/04 10:22:50.302, 362.94 W, 600.00 W, 2752 MHz, 15368 MHz, 66, 98 %, 80122 MiB
2026/09/04 10:22:51.303, 336.41 W, 600.00 W, 2745 MHz, 15368 MHz, 68, 98 %, 80122 MiB
2026/09/04 10:22:52.304, 334.99 W, 600.00 W, 2737 MHz, 15368 MHz, 69, 38 %, 80122 MiB
2026/09/04 10:22:53.304, 510.28 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 80122 MiB
2026/09/04 10:22:54.305, 368.32 W, 600.00 W, 2745 MHz, 15368 MHz, 68, 98 %, 80122 MiB
2026/09/04 10:22:55.305, 351.66 W, 600.00 W, 2745 MHz, 15368 MHz, 72, 98 %, 80122 MiB
2026/09/04 10:22:56.306, 339.45 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 54 %, 80122 MiB
2026/09/04 10:22:57.306, 474.67 W, 600.00 W, 2655 MHz, 15368 MHz, 75, 99 %, 80122 MiB
2026/09/04 10:22:58.307, 410.57 W, 600.00 W, 2745 MHz, 15368 MHz, 73, 98 %, 80122 MiB
2026/09/04 10:22:59.307, 351.21 W, 600.00 W, 2745 MHz, 15368 MHz, 70, 99 %, 80122 MiB
