2026/09/04 11:13:18.620, 480.73 W, 600.00 W, 2737 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:19.620, 398.28 W, 600.00 W, 2722 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:20.621, 391.36 W, 600.00 W, 2700 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:13:21.621, 405.90 W, 600.00 W, 2692 MHz, 15368 MHz, 77, 98 %, 92926 MiB
2026/09/04 11:13:22.622, 238.10 W, 600.00 W, 2820 MHz, 15368 MHz, 77, 51 %, 92926 MiB
2026/09/04 11:13:23.623, 486.71 W, 600.00 W, 2662 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:24.624, 530.24 W, 600.00 W, 2647 MHz, 15368 MHz, 81, 99 %, 92926 MiB
2026/09/04 11:13:25.624, 486.44 W, 600.00 W, 2737 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:26.625, 393.66 W, 600.00 W, 2722 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:27.626, 402.28 W, 600.00 W, 2692 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:13:28.626, 409.42 W, 600.00 W, 2700 MHz, 15368 MHz, 81, 99 %, 92926 MiB
2026/09/04 11:13:29.627, 217.30 W, 600.00 W, 2820 MHz, 15368 MHz, 72, 0 %, 92926 MiB
2026/09/04 11:13:30.628, 463.03 W, 600.00 W, 2670 MHz, 15368 MHz, 80, 98 %, 92926 MiB
2026/09/04 11:13:31.629, 521.82 W, 600.00 W, 2655 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:13:32.630, 498.50 W, 600.00 W, 2685 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:13:33.630, 396.53 W, 600.00 W, 2692 MHz, 15368 MHz, 78, 100 %, 92926 MiB
2026/09/04 11:13:34.631, 401.61 W, 600.00 W, 2737 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:35.631, 393.26 W, 600.00 W, 2707 MHz, 15368 MHz, 79, 98 %, 92926 MiB
2026/09/04 11:13:36.632, 302.27 W, 600.00 W, 2812 MHz, 15368 MHz, 72, 0 %, 92926 MiB
2026/09/04 11:13:37.633, 374.31 W, 600.00 W, 2670 MHz, 15368 MHz, 81, 99 %, 92926 MiB
2026/09/04 11:13:38.633, 516.98 W, 600.00 W, 2655 MHz, 15368 MHz, 82, 99 %, 92926 MiB
2026/09/04 11:13:39.634, 519.16 W, 600.00 W, 2655 MHz, 15368 MHz, 82, 100 %, 92926 MiB
2026/09/04 11:13:40.635, 426.00 W, 600.00 W, 2700 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:13:41.635, 399.07 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:42.636, 407.39 W, 600.00 W, 2700 MHz, 15368 MHz, 78, 98 %, 92926 MiB
2026/09/04 11:13:43.637, 409.88 W, 600.00 W, 2692 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:13:44.637, 216.29 W, 600.00 W, 2767 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:13:45.638, 499.93 W, 600.00 W, 2700 MHz, 15368 MHz, 81, 100 %, 92926 MiB
2026/09/04 11:13:46.638, 513.73 W, 600.00 W, 2685 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:13:47.639, 496.89 W, 600.00 W, 2707 MHz, 15368 MHz, 82, 99 %, 92926 MiB
2026/09/04 11:13:48.640, 398.99 W, 600.00 W, 2737 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:49.640, 403.31 W, 600.00 W, 2722 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:13:50.641, 406.41 W, 600.00 W, 2730 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:13:51.642, 376.60 W, 600.00 W, 2752 MHz, 15368 MHz, 74, 0 %, 92926 MiB
2026/09/04 11:13:52.642, 241.71 W, 600.00 W, 2715 MHz, 15368 MHz, 78, 100 %, 92926 MiB
2026/09/04 11:13:53.643, 513.06 W, 600.00 W, 2655 MHz, 15368 MHz, 81, 98 %, 92926 MiB
2026/09/04 11:13:54.644, 511.27 W, 600.00 W, 2647 MHz, 15368 MHz, 83, 99 %, 92926 MiB
2026/09/04 11:13:55.644, 481.86 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:56.645, 394.77 W, 600.00 W, 2685 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:13:57.645, 404.94 W, 600.00 W, 2745 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:58.646, 405.15 W, 600.00 W, 2692 MHz, 15368 MHz, 82, 99 %, 92926 MiB
2026/09/04 11:13:59.647, 334.12 W, 600.00 W, 2805 MHz, 15368 MHz, 73, 0 %, 92926 MiB
2026/09/04 11:14:00.647, 317.53 W, 600.00 W, 2670 MHz, 15368 MHz, 80, 98 %, 92926 MiB
2026/09/04 11:14:01.648, 503.67 W, 600.00 W, 2662 MHz, 15368 MHz, 82, 100 %, 92926 MiB
2026/09/04 11:14:02.648, 514.27 W, 600.00 W, 2655 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:14:03.649, 467.29 W, 600.00 W, 2715 MHz, 15368 MHz, 80, 100 %, 92926 MiB
